[GIN] 2024/10/14 - 23:36:32 | 200 |       997.8µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:32 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:34 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:34 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:36 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:36 | 200 |       211.2µs |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:38 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:38 | 200 |       261.4µs |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:40 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:40 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:42 | 200 |       234.2µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:42 | 200 |       999.7µs |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:44 | 200 |       415.8µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:44 | 200 |       602.4µs |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:46 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:46 | 200 |       855.2µs |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:48 | 200 |       515.2µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:48 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:50 | 200 |       728.3µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:50 | 200 |      1.0007ms |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:52 | 200 |       801.3µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:52 | 200 |       452.9µs |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:54 | 200 |       560.5µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:54 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:56 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:56 | 200 |       547.8µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:58 | 200 |       338.2µs |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:58 | 200 |      1.0038ms |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:00 | 200 |      1.0012ms |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:00 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:02 | 200 |       939.6µs |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:02 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:04 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:04 | 200 |       345.4µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:06 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:07 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:08 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:09 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:10 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
